label,text_lemmatized
2,"заказ довольный цвет слоновый кость очень приятный цвет на свет просвечивать наполнитель синтипон ужасно долгий доставка 1,5 месяц думать не прийти резинка на один и рукав с брак и в область живот топырщиться из за карман надеяться не замерзнуть в наш российский мороз в подарок продавец положить резинка"
2,платье темно-синий с красный мак очень удачный модель для пышный красавица много ткань на юбка делать фасон легкое и струиться для ог-120 об-130 выбрать 6 xl при рост 160 см платье в пол ткань хорошо гладиться держать форма и не мнется не просвечиваться единственный но для оказаться неприемлимый платье прострочить белый нитка быть готовый к такой дизайн поход к портниха исправить этот ситуация и сегодня блистать в новый наряд касаться сам магазин и продавец то мочь сказать что очень надеяться стать любимый магазин и быть шить больше нарядный платье с хороший крой как продавец помогать выбрать размер и решить весь проблема трек отслеживаться на весь путь доставка около месяц но больше мурыжить на таможня в город почти 2 неделя платье рекомендовать к покупка
1,синтетика голимый ни капля хб ткань г но в остальной как в описание
2,спасибо большой за быстрый доставка и качественный товар в восторг от
0,продавец выслать не тот цвет очень расстроиться вот именно черный как раз и не хотеть но видио судьба вот за один звезда мех лезть безбожно запах тоже присутствовать попробовать постирать посмотреть выйти
1,прийти с дырка
1,посылка так и не прийти но продавец вернуть деньга и извиниться
2,заказывать дочка заказ довольный сшить хорошо быть еще подарок маленький за спасибо продавец рекомендовать размер подбирать по таблица в описание подойти
1,бесполезный вещь не держать
2,"классный юбка брать не пожалеть брать дочь остаться довольный пошить хорошо ни нитка ни запах доставка 1,5 месяц продавец спасибо"
0,водолазка не понравиться хотя взять по отзыв к тут очень нахваливать цвет не розовый а грязно бежевый материал к тело не прилегать выглядеть как некий рубчик по длинна не подойти так к застегнуть на клепочка не получиться не хватать длинный материал ог 88 от 70 носить не хотеться расстроить
0,продавец не подвести джинсы оказаться отличный для свой цена как на картинка но служба доставка cdek полный ужас заказ сделать 23.09.17 а из-за служба доставка получить только 08.11.17 в коаснодар последний время cdek сам на связь не выходить приходиться писать сам узнавать где посылка постоянно переносить срок доставка при даже не уведомлять о по смс или звонок узнавать о в переписка на сайт а мочь назначить дата но не назначить курьер и уже не первый раз снижать оценка из-за cdek
0,прийти с дырка продавец деньга не вернуть товар не заменить
2,доставка до москва 21 день качество хороший шов весь целый нитка не торчать затяжек нет на рост 164 по размер колготки сшить так что спереди один шов а сзади два и этот два шов быть тянуть если нога длинный
0,совершенно иной горло и ткань торчать нитка
1,так ждать и такой разочарование в s-ку еще 3 мочь влезть особенно видно как морщаться в присед еще думать что резинка полностью широкий а в ткань просто вдеть тонкий резинка короче носить навряд ли быть не рекомендовать
2,маленький очень узкий в икра нога ноша 42-44 заказывать l маленький
2,плотный ткань синтетика электризоваться смотреться хорошо
1,не понимать тот писать пуховик отличный достаться ужасный-ткань грубый блестеть весь наполнение неравномерный конечно за этот деньга не ждать хороший заказать для прогулка с собака но этот даже не одеть в этот магазин мой заказ точно не быть
2,отличный рубашка маломерить на 1 размер цвет яркий огромный плюс прошить шов
0,отправить заказ на деревня к дедушка в накладная быть указать только мой имя и телефон адрес отсутствовать быть в шок когда позвонить с почта россия и уточнить мой адрес если бы не такой ответственный отношение отдельный сотрудник почта к свой обязанность то не видать бы свой заказ относительно качество товар весь ок
2,штаны большой спортивный классика доставка около 2 неделя до спб
1,футболка очень яркий красивый заказ идти месяц до красноярск носить размер м заказать l футболка сидеть хорошо но маломерка в грудь малый рекомендовать тот у маленький грудь или ребенок в самый раз спасибо продавец в подарок положить браслет
2,хороший ночной рубашка очень приятный к тело
1,очень долго идти посылка в целое не плохой
2,кофта супер спасибо продавец рекомендовать
0,разочарование трикотаж тонкий растянутый размер не соответствовать носить 42 р-р заказать s только рукав нормальный а остальной широкий и длинный красный китайский цена такой платье 300 руб у из такой трикотаж тряпка для пол делать успехов производитель в достижение
2,юбка классный правда быть небольшой брак мой вес 64 кг рост 168 в талия туговатый длина до середина икра в целое за такой деньга просто класс
0,посылка прийти пустой деньга не вернуть кошмар один
2,конечно никакой тут не морозостойкость за минус звезда так куртка красивый
0,товар не прийти а заказ тип выполнить
0,футболка прийти качество не айса а размер просто огромный заказывать l на 48 размер а прийти огромный футболка 52-54 размер
2,красивый качественный в мера сексуальный платье очень довольный на свой s заказала s и село отличный
1,вдырх
2,прийти очень быстро максимальный размер на мой 48 подойти отлично качество отличный кружево мягкий единственный момент не очень красивый ластовица но за этот цена трусик очень оригинальный сексуальный рекомендовать к покупка
0,ни товар не деньга продавец наобещать что прийти деньга а не дело уже большой месяц после спор не видеть
1,качество далеко не такой как на картинка заказывать два вещь одинаковый размер прислать два разный размер один маленький другой большой
0,размер совсем не соответствовать короткий не довольный
1,заказ прийти быстро выбирать россия товар не соответствовать цвет близкий бордовый красный а заявить сочно красный размерный сетка не соответствовать на свой 44-46 брать м великоватый причем там еще нужный быть доп смотреть добовлять не стать большой 48-50 подходить и плотность явно не зимний скорый осенний открыть спор выиграть но товар нужный быть за свой счет отправлять почти как стоимость товар продавец вообще хамить мол бессовестный хотеть отправить товар отправить и не знать вообще свой параметр а поветовать хотеть вообще l покупка не удаться
1,на свой 44 размер заказать l прийти в притык даже маловатый маломерить на 2 размер качество не очень сзади шов корявый
2,5 потому что без всякий проблема вернуть деньга хоть заказ и не прийти
1,размер большой
2,товар прийти за 3 неделя саратов фото точно соответствовать 100 синтетика в процесс носка быстро потускнеть на один сезон на работа пойти
2,хороший блузка доставка быстрый
2,весь ок доставка быстрый отслеживаться
0,заказ так и не прийти продавец не предпринять чтобы найти заказ просто беспредел какой
2,доставка три неделя шикарный кофточка на русский 42/44 идеальный мой рост 156 мягкий приятный к тело теплый
2,за такой стоимость нормально на свой 42 заказать м подойти быстрый доставка
2,цвет отличаться большой
1,качество хороший но размер не подойти хотя заказать такой же как и носить
2,удобный теплый по фигура просить прощение фото не очень удачный заказать еще
1,добрый день товар не понравиться качество плохой даже для такой сумма оставить хороший отзов ну не как не мочь
0,плохой качество сплошной синтетика из хлопок только нитка ткань как на плащ
1,до тверской обл дойти за 5 неделя продавец очень долго отправлять почти три неделя запах как писать присутствовать но не убойный везде торчать нитка разрез спереди сборита под пуговица оказаться дырка шлевка пришиты криво для работа пойти немного разочаровать что столько косяк
1,пуховик на вид не понравиться как будто поношеный цвет сильно отличаться от картинка из москва в сибирь идти 18 день хотя можно быть и за 2 день доставить не рекомендовать продавец
2,хороший доставка до краснодарский край 27 день трек отслеживаться с продавец не общаться на расти 48-50 в самый раз качественно пошить продавец рекомендовать
2,теплый хороший даже слегка с утяжка на или габарит только с пятка слезать наверх но и ладно не жалеть что купить хороший высокий и широкий талия
1,заказ прийти за 3 неделя трек отслеживаться платье остаться не очень довольный лиф пришит криво сзади какой-то кривая сборка подол просвечивать электризуется жаль сам по платье красивый
1,пошив не очень
1,очень долгий доставка почти 2 месяц
0,товар прийти с темный пятно возле карман на протяжение 3 неделя или более продавец не хотеть возвращать деньга за товар каждый раз по как-то причина разочаровать в как в продавец так и в али несмотря на долгий пользование и наверное прекратить покупать здесь не брать кардиган здесь если бояться потом не получить свой ленега за испортить товар
1,торчать нитка белый цвет
2,рубашка хороший кое-где нитка не аккуратно торчать но можно исправить маломерка мой размер l продавец попросить выслать 2 xl и поступить правильно так к оказаться в пора посылка хорошо отслеживаться и до волгоград дойти за 2 неделя
2,симпатичный тянуться высокий посадка понравиться
0,the description in the pic doesn t look like the one i got even the design is not as the show in the picture pockets not as in the picture shipping was very fast thank you for that
1,очень сильно маломерить
0,ужасный качество жуткий синтетика цвет отличаться от картинка шов обработать плохо нитка торчать обнаружить дырка на очень крупный дама свыше 52 размер не меньше открыть спор ждать возврат деньга выбросить видеть не мочь такой убожество
0,прийти не что надо с дырка на попа на 44 заказать l маловатый
2,доставка быстрый качество отличный тянуться почти на любой размер
2,отличный куртка доставка супербыстрый 10 день до мо на рост 161 рукав впритык рекомендовать однозначно
1,не прийти и не отслеживаться открыть спор продавец вернуть деньга
1,заказать джинсы темно-синий цвет размер s таблица продавец недостоверный на параметр талия-бедро 64-89 размер s очень большой и в талия и в бедро собраться в складка талия болтаться смотреться совсем не симпатично штаны тянуться и тянуться очень хорошо а также очень хорошо к прилипать особенно заметный на темный ткань сам штаны надо понимать что за 700 рубль не джинсы и даже не джинсовый ткань симпатичный цвет цвет насыщенный бирка присутствовать на штаны ярлык made in usa но в конечно сомневаться на рост 160 см по длина сесть нормально если бы видеть штаны в реальность то еще бы подумать а стоить ли
2,отличный качество брать м на русский 52 думать что не влезть но когда одеть быть поразить действие корсет объем уйти в талия на 4-5 см точно весь советовать
2,на 48-50 российский размер нормально но слегка великоватый по тело но рукав очень узкий хотя у рука не полные-очень рука обтягивают-постирать наверно в рукав не влезть раз такой встречаться с рукав чтоб проблема быть а так качество материал хороший не первый раз заказывать в этот фирма качество отличный и по размер подходить надо пересмотреть лекало для пошив чтоб рукав посвободнее быть заказывать на этот фирма
1,леггинс просвечивать выглядеть как колготки
0,прийти детский халат
1,самый долгий покупка на али экспресс
0,заказ дойти за 3 неделя но заказывать 7 пара с высокий посадка а прийти короткий качество хороший но носить наврятли быть
1,качество хороший но абсолютно не держаться и постоянно сползать резинка отсутсвует ходить невозможный постоянно приходиться подтягивать заказывать размер м
0,ужасный качество-полиэстер однозначно-спецодежда для бригада скорый помощь и цвет и качество не стоить этот деньга однозначно
2,кардиган просто классный мягкий шерсть хороший качество соответствовать фото размер l на наш 46 в самый раз на рост 170 рукав в пора не короткий свой деньга стоить нисколько не пожалеть о покупка очень довольный доставка очень быстрый отправить 31 июль получить в приморье 12 август спасибо продавец
0,так и не прийти мой заказ ужасно не довольный
2,отличный
2,ждать товар 4 месяц так и не прийти подливать доставка но не дождаться правда деньга вернуть но обидный
1,заказать s оказаться большой на об 92 рост 166 а самый маленький размер причем на сам леггинс нет бирка с размер только на пакет общаться с продавец но смочь предложить скидка на следующий заказ сам легенда не плохой похожий на лосина очень хорошо тянуться главное угадать размер
0,в модель указать ткань поплин в мелкий рубчик фактически ткань трикотаж возможно синтетика сидеть как футболка разочаровать
2,хороший кофта соответствовать описание продавец общительный и милый однозначно рекомендовать поздний добавить фото
2,лосина очень понравиться выглядеть отлично не дешевый к тело очень приятный и мягкий пошиты аккуратно на рост 172 длина ниже щиколотка на параметр 66-93 размер xxl подойти отлично в талия даже быть немного место в общий к покупка рекомендовать
2,спасибо хороший качество в подарок получить милый резиночка на объем бедро 104 см взять xl идеально подойти
0,очень дешево выглядеть
0,trop grand
0,товар вообще не такой вместо розовый прийти золотистый на фото бант такой шикарный в реале- не понять на рост 165 и вес 52 кг размер 40-42 русский брать s подойти но сидеть ужасно плечо маленький на спина и талия висеть на деревенский дискотека можно выпендриться не рекомендовать ткань тонкий но не просвечивать
2,шорты подойти а топ другой модель и большой ткань тоненький
1,товар не прийти но продавец деньга вернуть
0,заказывать мама качество отвратительный материал отстой
2,рубашка отличный как на картинка только ткань похожий на мягкий рогожка думать что быть более гладкий по структура и жаль что пошить как мужской если выпрямиться то в грудь слишком в натяг а в спина пузыриться печаль обычно для женщина делать спина поуже а грудь пошире
1,пальто средний качество поначалу испугать угловатость пальто для тот в чей представление пальто идти по фигура сразу говорить пальто не для данный фасон полностью скрыть ваш фигура второй момент пальто синий ну а так в принцип за такой цена вполне нормально
1,очень низкий посадка очень ткань тонкий но не просвечивать
2,вполне приличный куртец
2,доставка до ростов-на-дону 2 неделя очень яркий удобный рубашка подойти размер l обычный мой размер м мой параметр ог-83 от-65 обхват плечо 96 вес 51 любить свободный вещь не обтягивать поэтому подойти идеальный быть покупать снова и определенно рекомендовать
0,очень плохой качество нитка торчать и не тот размер прислать
1,отправить почти через месяц идти долго у платье очень высоко резинка почти подгрудь размер подойти
0,заказать блузка ребенок к первый сентябрь товар отправить и даже присвоить номер для отслеживание пройти месяц а информация о отслеживание так и не быть сперва даже деньга не возвращать спустя два неделя все же вернуть очень плохо что не смочь выполнить мой заказ ребенок растроиться а время на новый заказ нету
0,добрый день продавец очень долго не отвечать и не отправлять заказ сегодня в надежда что таки отправить случайно нажать кнопка подтвердить заказ как далекий быть не ждать заказ уже не прийдеть так как спор тоже не мочь открыть
2,костюм прийти за 9 день подойти на 42-44 небольшой недостаток в вид торчать нитка но легкий исправить рукав для коротковаты передний часть свитер короче чем задний-такой пошив в целое заказ довольный
1,очень тонкий не соответствовать фото не очень понятный о какой компьютерный вязка идти речь в описание просто кусок тряпка и как оказаться материал материал рознь за такой деньга ужасно разочаровать не стоить свой деньга однозначно
2,"упаковать хорошо юбка село шикарный рост 172 взять м и не пожалеть мой параметр талия 70, 38 в длина в подарок дать резинку спасибо большой продавец общительный милый рекомендую доставка очень порадовать очень быстро и к новый год успеть спасибо большой"
1,товар не соответствовать никакой хлопок состав один голый синтетика черный а просвечиваться ужасс полный разочарование и страшно маломерить к же
1,очень больший даже на 56 размер
0,маломерить цвет не совпадать вместо нежно розовый как на картинка прийти очень яркий шов как на пижама
2,дойти заказ за месяц до мо цвет красивый думать быть потолще мягкий ноша s но специально взять l чтобы свободно сидеть трек отслеживаться
1,хорошо сидеть только на обладательница стройный фигура чуть полный уже плохой пиджак выглядеть очень дешево пуговица низкий чем должный быть рукав вообще в низ в ширь сделать
0,куртка куцый на кортинк почти до колено по факт еле зад прикрывать на картинка просторный свободный на делеесли раскрыть весь молния с бок то можно застигнуть но в проставка между молния нет совсем утеплитель капюшон кой как на голова не нравиться двойка а и просто кол за бодлог
1,качество соответствовать цена на слабый 3
0,товар не прийти деньга не вернуть очень расстроить
1,по качество нормальный посадка как на фото почти до пупок но штанина слишком короткий размер взять м с запас но равный натягивать с труд
0,товар не получить писать продавец что товар не прийти протянуть время три месяц открыть спор деньга не вернуть не советовать
1,доставить в срок упаковать хорошо но маломерок разница с заявить размер почти в 10 см на бедро возврат средство произойти посредством команда алиэкспресс
1,не узкий не теплый вообще расстроить
0,даже не кожзам большфя
1,прийти в владимирский область за 2 нед на 44 м большой сам по очень широкий смотреться так
2,давно уже глаз положить на этот свитер дождаться скидка и сразу купить очень довольный очень объемный мягкий и теплый отличный качество тяжелый даже очень хорошо сидеть хоть очень большой вчера получить сегодня уже на работа в
0,простой ужасный запах тухлый рыба после стирка лосиный потрескаться не рекомендовать
1,плохой не подойти ткань противный не советовать заказывать
1,товар не прийти но вернуть деньга
1,ну сказать опираться на размерный сетка и отзыв на свой 46 заказать ххл но еле застегивается девочка на ог 98 и бедро 102- еле натянуть а рассчитывать носить под свитер и качество не ах сзади внизу подкладка топорщиться
2,свитер хороший идти на размер 44-46 чуть большеватый
2,отличный курточка один в один как в юникло на рост 175 см и параметр 90-75-100 размер l отличный но рукав прям впритык
1,рукав совершенно больший
2,свитр как на фото мягкий рекомендовать правда быть один страннось заказать два свитер зеленый и синий указать что один размер а синий длиннее чем зеленый но оба как раз и оба хороший
1,на вид хороший еще не надевать но очень очень долго идти заказ до саратов
1,свитер конечно не ахти прийти вроде целый чуть прикрывать пупок в процесс носка образоваться затяжка не рекомендовать
2,супер быстрый доставка 2 неделя до нск качество отличный подойти идеально на мой обхват 98 см и рост 169 см заказать размер 30 идеальный для однозначно рекомендовать с продавец не общаться по отзыв понять и по фото какой нужный размер и спасибо продавец за подарок
2,размер соответствовать отправить и доставить быстро спасибо
2,очень быстрый доставка платье идеальный для идеальный фигура
2,доставка в челябинск всего 10 день спасибо продавец качество халат хороший но длина короткий на рост 167 размер l при вес 58 кг есть прикпывает в остальной отличный
2,товар не отслеживаться продавец на связь выходить посылка положить в ящик качество хороший спасибо продавец
2,заказ прийти за 2 неделя жилетка понравиться брак нет запах тоже на 40-42 взять s самый спасибо продавец
0,самый голимый синтетика как в древний ссср соответственно то ли брюки то ли бридж сшить ужасно шов сборят особенно между нога не ожидать что еще шиться из такой ужасный ткань
0,не что на фото ужасный качество цвет совершенно другой
2,на рост 173 размер маленький
0,описание не соответствовать действительность на мой размер русский 42 заказать s куртка даже в грудь не застегнуться куртка подойти на ребенок рост 140 продавец от общение с у остаться очень плохой осадка даже куртка внешне выглядеть как дешевый тряпка очень тонкий на север в можно ходить только в сентябрь деньга потратить зря
1,несоответствие размер
2,5 хл подойти на 54 размер 116-96-116
1,пальто подойти на осень и весна в мороз при минус 15 градус быть холодный на параметр ог-84 от-72 об-98 надо брать l на такой параметр как у xl большеватый пальто
0,рукав на оооооочень тонкий рука ткань очень не качественный недовольный покупка сильно
1,тоненький туничка а не платье
0,юбочка хороший но вот доставка ужасный мой заказ отправить в другой город прийтись ехать между за свой счет когда забрать товар открыть спор потому что деньга хоть за дорога вернуть не говорить уже про такси в другой город в итог спорт отклонить а продавец назвать нечестный
0,писать доставить но на почта нету
0,самый плохой покупка товар брак повсюду непонятный характер желтый и розовый пятно шуба размер на 9-летнего ребенок мех весь вылезти шуба прийти насквозь мокрый продавец пытаться заставить отменить спор чтоб деньга забрать настоять на свой бороться с помочь служба поддержка ждать деньга назад
0,даже не понять что за убогий страх прийти кошмар
1,заказывать размер s на свой 44-46 кофта прийти больший ткань ужасный синтетика и только
1,размер не точный но качество хороший
1,скроена как странный нет перед и зад из-за топорщиться под грудь размер соответствовать рукав не короткий
2,прекрасный бодь жаль что черный нет в наличие
1,плохой материал
2,доставить за 23 день прямо домой отлично
2,прийти быстро хл на 90-80-100 сидеть хорошо в подарок резинка для волос
2,хороший носочек
1,футболка не прийти деньга вернуть через спор
0,товар не прийти с июль 2017 год пытаться открыть спор продавец попросить чуть-чуть подождать якобы платье в путь обещать возместить стоимость в случай непоставка срок открытие спор пройти кроме просьба подождать от продавец не последовать
1,трек отслеживаться плюс а вот сам купальник не понравиться везде торчать нитка да и грудь совершенно не держать хотя на рассчитывать за этот деньга но как говориться надежда умирать последний
2,товар не прийти но продавец веренуть весь сумма
1,прийти быстро но цвет фон не белый а грязно кремовый какой-то
